benchmark name,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,dram_utilization,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,nvlink_total_data_transmitted,nvlink_total_data_received,nvlink_user_data_transmitted,nvlink_user_data_received,nvlink_overhead_data_transmitted,nvlink_overhead_data_received,nvlink_total_nratom_data_transmitted,nvlink_user_nratom_data_transmitted,nvlink_total_ratom_data_transmitted,nvlink_user_ratom_data_transmitted,nvlink_total_write_data_transmitted,nvlink_user_write_data_transmitted,nvlink_transmit_throughput,nvlink_receive_throughput,nvlink_total_response_data_received,nvlink_user_response_data_received,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,issue_slot_utilization,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,shared_utilization,l2_utilization,tex_utilization,ldst_fu_utilization,cf_fu_utilization,tex_fu_utilization,special_fu_utilization,half_precision_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,sysmem_read_utilization,sysmem_write_utilization,pcie_total_data_transmitted,pcie_total_data_received,inst_executed_global_loads,inst_executed_local_loads,inst_executed_shared_loads,inst_executed_surface_loads,inst_executed_global_stores,inst_executed_local_stores,inst_executed_shared_stores,inst_executed_surface_stores,inst_executed_global_atomics,inst_executed_global_reductions,inst_executed_surface_atomics,inst_executed_surface_reductions,inst_executed_shared_atomics,inst_executed_tex_ops,l2_global_load_bytes,l2_local_load_bytes,l2_surface_load_bytes,dram_read_bytes,dram_write_bytes,l2_local_global_store_bytes,l2_global_reduction_bytes,l2_global_atomic_store_bytes,l2_surface_store_bytes,l2_surface_reduction_bytes,l2_surface_atomic_store_bytes,global_load_requests,local_load_requests,surface_load_requests,global_store_requests,local_store_requests,surface_store_requests,global_atomic_requests,global_reduction_requests,surface_atomic_requests,surface_reduction_requests,sysmem_read_bytes,sysmem_write_bytes,l2_tex_hit_rate,texture_load_requests,unique_warps_launched
bfs,459.621418,1.0,0.952931,0.93632481,0.000519,0.000000,0.000000,0.000000,0.000000,15.411837,1.051039,0,0,0,0,18000002,56249,0,5,286588,56282,122006,51862,0.8087903900000001,0.0,23.316756,1.345197,177.566050,8.071179,0.0,0.9378034,0.37700007,0.90138897,17.506448,7.441650,645.694884,41.134665,8.071179,41.121987,8.075883,0.000000,752.284180,0.000000,0.000000,0.000000,0.000000,0.12940512,0.16041666,4500000,0,0,0,0,0,0,0,0,1000448,14369604,14376807,1,1,0.054514560000000004,0.07283603,0.56510114,3.2000000000000003e-06,0.0,0.29479237,0.00248996,0.00258158,0.0,1000448,0,275500493,4001792,96000448,35499999,8253135,0,13314279,3212514,3212514,4612528,1362528,0,0.000000,0.000000,0,286677,0.0001286,0.00755257,56249,576,384,0,0,1.0,1.0,0,0,0,0,0,0,2.644761,1.763172,0,0,0,0,0,0,0,1.028686,1.029170,0.47478921999999996,0.94349418,0.891283,1.369301,0,1,3,1,1,3,1,0,3,0,0.0,0.0,0.0,0,1,196,85,1200000,0,0,0,100000,0,0,0,0,0,0,0,0,0,9184173,0,0,3904210,1659603,1799998,0,0,0,0,0,4500000,0,0,50000,0,0,0,0,0,0,0,160,0.40748057000000004,0,31264
fft,481.000000,1.0,1.0,1.0,0.000682,2.000000,2.000000,0.000000,0.000000,64.000004,16.000000,4194304,6291456,0,0,33554434,8388608,0,5,8388714,8388628,8388724,8378624,0.0,0.0,552.155911,249.964255,552.155911,249.964255,0.0,0.0,0.0,0.00209443,552.158281,249.666751,552.155911,552.155911,249.964255,552.162230,249.964851,0.000000,345.094727,0.000000,0.000000,748.566744,499.928510,1.0,1.0,8388608,679477248,301989888,121634816,134217728,1300234240,603979776,243269632,209715200,117440512,59375616,59380780,9,1,0.00756186,0.18688984,0.25937019,0.16423138,0.30477876,0.39541849,0.00018103000000000002,0.047917459999999995,1.0,1233125376,557842432,71303168,92274688,4194304,364904448,104857600,0,48239080,131072,131072,23199744,13631488,0,0.000000,0.000000,0,8388608,0.15501483,0.01547115,8388608,576,384,0,0,1.0,1.0,0,0,0,0,0,0,562.417969,828.231445,0,0,0,0,0,0,0,0.741747,0.742497,0.30159049,0.99381919,0.848412,1.241623,2,3,3,2,1,2,1,0,3,3,0.0,0.12611025,0.14122885,0,1,1024,170,1048576,0,4194304,0,1048576,0,4194304,0,0,0,0,0,0,0,268435456,0,0,268439168,268115968,268435456,0,0,0,0,0,4194304,0,0,8388608,0,0,0,0,0,0,0,160,0.00104721,0,131072
gemm,294694.000000,1.0,1.0,0.99969156,0.000025,1.999030,3.992330,0.000000,0.000000,60.014652,7.876923,34144256,269221888,0,0,536870914,2097152,0,5,134165579,2097172,44798354,2128537,0.0049695,0.0,573.345337,8.958521,573.345337,8.958521,0.0,0.01631195,0.86190438,0.0,164.116446,9.025055,573.345337,571.661389,8.958521,571.799999,8.958700,0.000000,44.791016,0.000000,0.000000,2321.889547,845.515345,1.0,1.0,134217728,17184063488,0,8589934592,4194304,137490071552,0,68736516096,17039360,262144,2414133248,2414142717,3,1,0.02749254,0.22282221,0.04609718,1.003e-05,0.13687619,0.19276073,0.00026628,0.35817782000000004,0.50088145,68753817600,8594194432,1964769280,786432,138412032,5277745152,423100416,0,2220238042,4333568,4333568,212746240,190758912,0,0.000000,0.000000,0,134166111,0.00049842,0.6419684499999999,2097152,576,384,0,0,1.0,1.0,0,0,0,0,0,0,161.251953,107.500977,0,0,0,0,0,0,0,2.157989,2.158351,0.9950413399999999,0.96275612,0.248207,10.908584,3,3,3,2,1,2,1,0,10,10,0.0,0.93146202,0.91911984,0,1,2508,174,13139968,0,134930432,0,524288,0,37928960,0,0,0,0,0,0,0,4293202984,0,0,1433547344,68113191,67108864,0,0,0,0,0,33554432,0,0,2097152,0,0,0,0,0,0,0,160,0.84857593,0,8192
md,4981.000000,1.0,1.0,0.9737000600000001,0.001191,0.000000,0.000000,0.000000,0.000000,16.492314,24.000000,0,0,0,0,4939778,165888,0,5,11326452,165967,1242788,96396,0.05554679,0.0,89.107375,3.335180,89.107375,10.005539,0.0,0.46801124,0.88927393,0.83333333,86.409362,5.814160,501.388663,776.831552,10.005539,776.834083,10.010320,0.000000,384.029297,0.000000,0.000000,0.000000,0.000000,1.0,0.33333333000000004,8312832,283115520,28311552,103809024,47185920,235929600,37748736,75497472,47185920,9437184,11476224,11489430,2,1,0.01659671,0.04020807,0.9366757800000001,0.00123083,0.0,0.00434408,0.0009131899999999999,0.00185085,0.0,179306496,188743680,60751872,0,49618944,28680192,20348928,0,10217376,1852416,1852416,5976576,900864,0,0.000000,0.000000,0,11300032,0.00245716,0.0009048000000000001,165888,576,384,0,0,1.0,1.0,0,0,0,0,0,0,1.350109,921.673828,0,0,0,0,0,0,0,0.438130,0.438522,0.19863039000000002,0.80283399,0.643321,0.434211,0,4,3,1,1,2,1,0,2,2,0.0,0.060019859999999994,0.1191718,0,1,418,93,299520,0,0,0,6912,0,0,0,0,0,0,0,0,589824,40108032,0,0,39769239,3084689,5308416,0,0,0,0,0,1198080,0,0,55296,0,0,0,0,0,0,0,160,0.88819384,4718592,2304
md5hash,16769.756549,1.0,0.99999934,0.98563351,0.000076,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,13,0,5,2283,26,2,4,0.0,0.0,0.000000,273.000000,0.000000,3.971680,0.0,0.0,0.0,1.0,750.000000,1.465820,0.000000,0.000000,3.971680,697.688477,7.944336,0.000000,1.526367,0.000000,0.000000,0.000000,0.000000,0.0,0.06730768999999999,0,0,0,0,0,0,0,0,0,24010368,12582750813,12583708790,0,1,0.01316465,0.11428414,0.0,0.0,0.0,0.81575715,0.00012303,0.0279115,0.0,24010368,0,379672225320,48020736,8403500368,13,8715631850,0,12319598521,422426231,422426231,1500661,1500661,0,0.000000,0.000000,0,0,1.5899999999999998e-06,0.02875794,13,576,384,0,0,1.0,1.0,0,0,0,0,0,0,5.499023,3.666016,0,0,0,0,0,0,0,1.475560,1.475684,0.72235578,0.99877724,0.888941,3.039158,0,1,0,1,1,1,1,0,8,0,0.0,0.0,0.0,0,1,17510,1382,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,76,153,416,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,160,1.0,0,750324
neuralnet,8294.000000,1.0,1.0,0.9811121,0.250000,1.852459,1.714286,10.000000,3.666667,33.797414,4.210000,1872,3616,10,22,15682,2978,0,5,3928,2991,3926,2837,0.75,0.0,533.253836,501.444384,626.805551,651.877791,0.84210526,0.76528117,0.9236616200000001,1.0,639.985071,956.810211,601.733316,626.805551,651.877791,597.244323,782.253406,0.000000,62.422711,99.829130,219.624460,26.864065,13.907503,1.0,1.0,3920,2200,200,1000,60,1656192,7168,820352,11910,600,33176,33188,1,1,0.17372819,0.13813335000000002,0.7983526999999999,0.00016977,0.07529714,0.22589287,0.846961,0.021948080000000002,0.7647405700000001,835968,1200,216580,600,36480,123308,169764,0,29172,2647,2647,5236,4312,0,0.000000,0.000000,0,3920,0.012133689999999999,0.362545,2978,589,392,0,0,1.0,1.0,0,0,0,0,0,0,224.722775,149.815053,0,0,0,0,0,0,0,1.057928,1.329040,0.5841080399999999,0.20114068,0.466933,2.415461,1,1,1,2,1,1,1,0,7,1,0.0,0.00632214,7.856999999999999e-05,0,1,264,123,760,1,1952,0,745,6,1732,0,0,0,0,0,0,0,125440,320,0,125632,90809,95296,0,0,0,0,0,2984,2,0,2978,22,0,0,0,0,0,0,160,0.68881158,0,768
reduction,8245.125000,1.0,0.9998825100000001,0.999018,0.000929,1.980411,1.990375,0.000000,0.000000,32.000008,1.000000,264704,265280,0,0,8388610,64,0,5,2097587,84,2097200,64780,0.0,0.0,387.245722,956.331055,387.245722,12.101422,0.0,0.49999237,0.0,0.96875,387.253533,11.928899,387.245722,387.245722,12.101422,387.326131,15.886538,0.000000,968.107422,0.000000,0.000000,195.939150,195.513709,1.0,0.25,2097152,8413184,8413184,0,0,16801792,16801792,0,0,0,4221504,4223527,6,1,0.021743290000000002,0.05820986,0.91635572,0.0,0.0024185,0.007257169999999999,0.00314264,0.0009856700000000001,0.99988679,16801792,8413184,75710656,0,8454144,33693824,295040,0,3696611,265344,265344,2630400,1059072,0,0.000000,0.000000,0,2097152,7.799999999999999e-07,0.002875,64,781,692,0,0,1.0,1.0,0,0,0,0,0,0,4.620343,4.088985,0,0,0,0,0,0,0,0.231511,0.231772,0.10142841000000001,0.92290627,0.143654,0.228860,1,2,2,1,1,2,0,0,1,1,0.0,0.00664366,0.010747050000000001,0,1,250,96,524288,0,265024,0,64,0,264064,0,0,0,0,0,0,0,67108864,0,0,67110423,2072977,2048,0,0,0,0,0,2097152,0,0,64,0,0,0,0,0,0,0,160,2.9559999999999998e-05,0,512
scan,34571.000000,1.0,1.0,0.99609375,0.023741,2.000000,2.000000,0.000000,0.000000,63.754879,32.000000,1327232,2359296,0,0,8389122,4194304,0,5,2098852,4199448,2098922,2096916,0.49999237,0.0,466.032217,142.447329,466.032217,284.894657,0.0,0.5,0.0006431599999999999,1.0,465.776829,153.265953,466.032217,466.032217,284.894657,565.205400,285.244110,0.000000,356.115234,0.000000,0.000000,623.207063,360.604578,1.0,1.0,2097280,33554432,33554432,0,0,67108864,67108864,0,0,16384,17700352,17702396,7,1,0.06874754,0.25432042,0.89887623,0.15687808,0.44866452,0.14948089,0.17084405,0.00247323,1.0,67125248,33554432,18546624,32768,1212416,201359488,273940480,0,16881556,40064,40064,11143744,11144704,0,0.000000,0.000000,0,2097216,0.00052539,0.00495442,4194304,12429,18164,0,0,1.0,1.0,0,0,0,0,0,0,76.640447,111.547352,0,0,0,0,0,0,0,0.386029,0.386002,0.18405157,0.95486423,0.149186,0.411635,2,2,3,2,1,3,1,0,1,1,0.0,0.0113439,0.01586641,0,1,315,132,524288,0,2359296,0,131072,0,1442304,0,0,0,0,0,0,0,67110912,0,0,67165526,67101321,134217728,0,0,0,0,0,2097152,0,0,2097152,0,0,0,0,0,0,0,160,0.5,0,512
sort,816.000000,1.0,1.0,0.98782169,0.021546,1.000000,1.097222,0.000000,0.000000,64.000005,16.000000,15532032,18874368,0,0,25952258,6291456,0,5,7127836,6291477,6488130,6285448,0.006442069999999999,0.0,322.806804,240.418008,322.806804,240.418008,0.0,0.49911732000000003,0.5,1.0,322.812013,240.046225,322.806804,322.806804,240.418008,322.816768,240.418817,0.000000,538.007812,0.000000,0.000000,1610.670023,1325.447207,1.0,1.0,6488064,0,0,0,0,64,64,0,0,0,160432128,160436050,7,1,0.04721674,0.22211092000000002,0.77524192,0.10103457,0.31562312,0.5093546400000001,0.02673553,0.00645614,1.0,64,0,1629683712,197088,62914560,1585643520,1830813696,0,153947983,2801664,2801664,74317824,83755008,0,0.000000,0.000000,0,7127458,0.18883626,0.017723219999999998,6291456,9609,13934,0,0,1.0,1.0,0,0,0,0,0,0,338.582551,467.771739,0,0,0,0,0,0,0,1.419798,1.421945,0.66587661,0.99644278,0.933218,2.357023,3,2,2,6,1,2,1,0,4,0,0.0,8.100000000000001e-07,0.0,0,1,492,153,1572864,0,18874368,0,1572864,0,14155776,0,0,0,0,0,0,0,228068771,0,0,207620178,201134345,201326592,0,0,0,0,0,3342336,0,0,6291456,0,0,0,0,0,0,0,160,0.50192554,0,393216
spmv,2253.707031,1.0,1.0,0.94117647,0.113166,1.545455,2.000000,0.000000,0.000000,22.960322,8.000000,196608,278528,0,0,4791184,16384,0,5,5315076,16405,1326847,62589,0.58306484,0.0,254.661119,844.641785,746.494382,844.641785,0.0,0.6950746,0.81328984,0.96875,256.407702,19.138871,481.834160,936.906984,844.641785,937.060771,848.766012,0.000000,562.626953,0.000000,0.000000,274.471491,193.744582,0.9065270200000001,1.0,1924750,5999122,507904,2745609,0,5999122,507904,2745609,0,524288,2973182,2975881,4,1,0.05868024,0.20729579,0.72489611,0.27144522,0.0,0.27937654,0.7278185100000001,0.00233871,0.27155172,3777801,3253513,46207216,1572864,3670079,11366171,5957949,0,2692284,221501,221501,1862978,661060,0,0.000000,0.000000,0,5314726,0.04568787999999999,0.00457592,16384,13083,19139,0,0,1.0,1.0,0,0,0,0,0,0,84.310545,123.333985,0,0,0,0,0,0,0,0.433469,0.433695,0.19788661999999999,0.94028899,0.901313,0.589867,1,4,3,1,1,3,1,0,2,1,0.0,0.00644884,0.01019126,0,1,307,97,233176,0,180224,0,16384,0,98304,0,0,0,0,0,0,101488,100213097,0,0,42459127,2002869,524288,0,0,0,0,0,842221,0,0,16384,0,0,0,0,0,0,0,160,0.8129486300000001,754436,16384
