benchmark name,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,dram_utilization,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,nvlink_total_data_transmitted,nvlink_total_data_received,nvlink_user_data_transmitted,nvlink_user_data_received,nvlink_overhead_data_transmitted,nvlink_overhead_data_received,nvlink_total_nratom_data_transmitted,nvlink_user_nratom_data_transmitted,nvlink_total_ratom_data_transmitted,nvlink_user_ratom_data_transmitted,nvlink_total_write_data_transmitted,nvlink_user_write_data_transmitted,nvlink_transmit_throughput,nvlink_receive_throughput,nvlink_total_response_data_received,nvlink_user_response_data_received,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,issue_slot_utilization,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,shared_utilization,l2_utilization,tex_utilization,ldst_fu_utilization,cf_fu_utilization,tex_fu_utilization,special_fu_utilization,half_precision_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,sysmem_read_utilization,sysmem_write_utilization,pcie_total_data_transmitted,pcie_total_data_received,inst_executed_global_loads,inst_executed_local_loads,inst_executed_shared_loads,inst_executed_surface_loads,inst_executed_global_stores,inst_executed_local_stores,inst_executed_shared_stores,inst_executed_surface_stores,inst_executed_global_atomics,inst_executed_global_reductions,inst_executed_surface_atomics,inst_executed_surface_reductions,inst_executed_shared_atomics,inst_executed_tex_ops,l2_global_load_bytes,l2_local_load_bytes,l2_surface_load_bytes,dram_read_bytes,dram_write_bytes,l2_local_global_store_bytes,l2_global_reduction_bytes,l2_global_atomic_store_bytes,l2_surface_store_bytes,l2_surface_reduction_bytes,l2_surface_atomic_store_bytes,global_load_requests,local_load_requests,surface_load_requests,global_store_requests,local_store_requests,surface_store_requests,global_atomic_requests,global_reduction_requests,surface_atomic_requests,surface_reduction_requests,sysmem_read_bytes,sysmem_write_bytes,l2_tex_hit_rate,texture_load_requests,unique_warps_launched
bfs,459.621418,1.0,0.952931,0.93632481,0.000537,0.000000,0.000000,0.000000,0.000000,15.411837,1.051039,0,0,0,0,18000002,56249,0,5,287092,56283,121932,51879,0.80878109,0.0,23.306779,1.344621,177.490073,8.067725,0.0,0.9377770099999999,0.37779425000000005,0.90138897,17.488302,7.440823,645.418604,41.120509,8.067725,41.176577,8.072466,0.000000,751.961914,0.000000,0.000000,0.000000,0.000000,0.12940512,0.16041666,4500000,0,0,0,0,0,0,0,0,1000448,14369604,14377242,1,1,0.05452788,0.07284782,0.56492596,3.07e-06,0.0,0.29499638,0.00243756,0.0025805299999999997,0.0,1000448,0,275500493,4001792,96000448,35499999,8253135,0,13314714,3212514,3212514,4612528,1362528,0,0.000000,0.000000,0,286701,0.00012737,0.00755343,56249,725,607,0,0,1.0,1.0,0,0,0,0,0,0,3.328404,2.788662,0,0,0,0,0,0,0,1.030389,1.030590,0.47544601,0.94604981,0.891783,1.368286,0,1,3,1,1,3,1,0,0,0,0.0,0.0,0.0,0,1,307,76,1200000,0,0,0,100000,0,0,0,0,0,0,0,0,0,9167455,0,0,3901832,1660129,1799998,0,0,0,0,0,4500000,0,0,50000,0,0,0,0,0,0,0,160,0.4083238,0,31264
fft,481.000000,1.0,1.0,1.0,0.000443,2.000000,2.000000,0.000000,0.000000,64.000004,16.000000,4194304,6291456,0,0,33554434,8388608,0,5,8389856,8388628,8388644,8378726,0.0,0.0,553.117740,250.019502,553.117740,250.019502,0.0,0.0,0.0,0.0013519900000000002,553.119081,249.715544,553.117740,553.117740,250.019502,553.143060,250.020098,0.000000,345.696289,0.000000,0.000000,749.365537,500.039003,1.0,1.0,8388608,679477248,301989888,121634816,134217728,1300234240,603979776,243269632,209715200,117440512,59375616,59380917,9,1,0.0067360399999999996,0.186705,0.26166351,0.16179415,0.30034689,0.39915090999999997,0.0003759,0.046664269999999994,1.0,1233125376,557842432,71303168,92274688,4194304,364904448,104857600,0,48239227,131072,131072,23199744,13631488,0,0.000000,0.000000,0,8388608,0.16386905,0.01520557,8388608,1482,1744,0,0,1.0,1.0,0,0,0,0,0,0,999.737305,967.657227,0,0,0,0,0,0,0,0.719460,0.720932,0.29283162,0.99433692,0.848215,1.187404,2,2,3,2,1,2,1,0,5,3,0.0,0.12234603999999999,0.13751496,0,1,512,341,1048576,0,4194304,0,1048576,0,4194304,0,0,0,0,0,0,0,268435456,0,0,268436608,268119253,268435456,0,0,0,0,0,4194304,0,0,8388608,0,0,0,0,0,0,0,160,0.000676,0,131072
gemm,294694.000000,1.0,1.0,0.99969156,0.000024,1.999030,3.992330,0.000000,0.000000,60.014652,7.876923,34144256,269221888,0,0,536870914,2097152,0,5,134168981,2097172,44676883,2128613,0.0051031800000000006,0.0,572.919164,8.951862,572.919164,8.951862,0.0,0.01640612,0.8638798099999999,0.0,162.196457,9.030116,572.919164,571.224741,8.951862,571.210161,8.952041,0.000000,44.757812,0.000000,0.000000,2320.636879,846.014601,1.0,1.0,134217728,17184063488,0,8589934592,4194304,137490071552,0,68736516096,17039360,262144,2414133248,2414142679,3,1,0.02750864,0.22285972999999998,0.04625337,1.1089999999999999e-05,0.13687509,0.19280107000000002,0.0002512,0.35732733000000005,0.50088145,68753817600,8594194432,1964769280,786432,138412032,5277745152,423100416,0,2220238001,4333568,4333568,212746240,190758912,0,0.000000,0.000000,0,134166830,0.0005036999999999999,0.6420563300000001,2097152,4497,6266,0,0,1.0,1.0,0,0,0,0,0,0,406.226562,479.858398,0,0,0,0,0,0,0,2.158281,2.158073,0.9948289300000001,0.9626829100000001,0.247954,10.902942,3,2,3,2,1,2,1,0,0,10,0.0,0.92509989,0.9174587,0,1,2375,296,13139968,0,134930432,0,524288,0,37928960,0,0,0,0,0,0,0,4293278074,0,0,1429660259,68115624,67108864,0,0,0,0,0,33554432,0,0,2097152,0,0,0,0,0,0,0,160,0.85062082,0,8192
md,4981.000000,1.0,1.0,0.9737000600000001,0.001064,0.000000,0.000000,0.000000,0.000000,16.492314,24.000000,0,0,0,0,4939778,165888,0,5,11307294,165973,1242395,94348,0.055555560000000004,0.0,89.045598,3.338150,89.045598,10.014449,0.0,0.46724986,0.8906476000000001,0.83333333,86.350414,5.695670,501.835172,776.296630,10.014449,776.330334,10.019630,0.000000,383.762695,0.000000,0.000000,0.000000,0.000000,1.0,0.33333333000000004,8312832,283115520,28311552,103809024,47185920,235929600,37748736,75497472,47185920,9437184,11476224,11488694,2,1,0.01435007,0.04033414,0.94452472,0.00124061,0.0,0.00430584,0.0008842899999999999,0.0018683,0.0,179306496,188743680,60751872,0,49618944,28680192,20348928,0,10216689,1852416,1852416,5976576,900864,0,0.000000,0.000000,0,11309020,0.00245253,0.00091584,165888,782,693,0,0,1.0,1.0,0,0,0,0,0,0,1.511719,921.034180,0,0,0,0,0,0,0,0.438663,0.438221,0.19849412,0.7983898100000001,0.643263,0.434099,0,4,3,1,1,3,1,0,3,2,0.0,0.06000719,0.11860654999999999,0,1,186,46,299520,0,0,0,6912,0,0,0,0,0,0,0,0,589824,40108032,0,0,39756669,3019136,5308416,0,0,0,0,0,1198080,0,0,55296,0,0,0,0,0,0,0,160,0.88868459,4718592,2304
md5hash,16769.756549,1.0,0.99999934,0.98563351,0.000076,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,13,0,5,2987,962,51,11,0.0,0.0,0.000000,273.000000,0.000000,3.972656,0.0,0.0,0.0,1.0,15.708984,3.544922,0.000000,0.000000,3.972656,913.009766,294.086914,0.000000,1.527344,0.000000,0.000000,0.000000,0.000000,0.0,0.06730768999999999,0,0,0,0,0,0,0,0,0,24010368,12582750813,12583709783,1,1,0.013163830000000001,0.11428534000000001,0.0,0.0,0.0,0.81575537,0.00012372,0.027911969999999998,0.0,24010368,0,379672225320,48020736,8403500368,13,8715631850,0,12319599525,422426231,422426231,1500661,1500661,0,0.000000,0.000000,0,0,1.5899999999999998e-06,0.02875817,13,37275,48697,0,0,1.0,1.0,0,0,0,0,0,0,356.025391,465.123047,0,0,0,0,0,0,0,1.475567,1.475686,0.7223567900000001,0.99880529,0.888864,3.039141,0,1,0,1,1,1,1,0,0,0,0.0,0.0,0.0,0,1,36710,30668,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1644,371,416,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,160,1.0,0,750324
neuralnet,8294.000000,1.0,1.0,0.9811121,0.250000,1.852459,1.714286,10.000000,3.666667,33.797414,4.210000,1872,3616,10,22,15682,2978,0,5,3928,2991,4046,2820,0.75,0.0,518.088399,498.943364,623.679283,648.626467,0.84210526,0.76528117,0.9236616200000001,1.0,700.342613,986.703434,598.732100,623.679283,648.626467,580.259032,778.351823,0.000000,62.513023,99.893764,219.766657,26.408184,13.671494,1.0,1.0,3920,2200,200,1000,60,1656192,7168,820352,11910,600,33176,33188,1,1,0.22654625,0.13923686999999998,0.80147683,0.00030532,0.08278387999999999,0.22992044,0.8489683100000001,0.01910742,0.7647405700000001,835968,1200,216580,600,36480,123308,169764,0,29172,2647,2647,5236,4312,0,0.000000,0.000000,0,3920,0.01212509,0.38255066,2978,1200,1309,0,0,1.0,1.0,0,0,0,0,0,0,381.902525,408.753764,0,0,0,0,0,0,0,1.568754,1.569408,0.68974886,0.14545475,0.452772,2.380767,1,1,1,2,1,2,1,0,7,1,0.0,0.00874833,8.855999999999999e-05,0,1,224,128,760,1,1952,0,745,6,1732,0,0,0,0,0,0,0,125440,320,0,129472,90240,95296,0,0,0,0,0,2984,2,0,2978,22,0,0,0,0,0,0,160,0.6901897300000001,0,768
reduction,8245.125000,1.0,0.9998825100000001,0.9990178799999999,0.000478,0.995170,0.997576,0.000000,0.000000,16.000004,1.000000,263424,263744,0,0,8388610,64,0,5,2097255,84,2097173,64272,0.0,0.0,239.023162,956.088867,239.023162,7.469470,0.0,0.49999237,0.0,0.96875,239.025575,7.325484,239.023162,239.023162,7.469470,239.034919,9.810860,0.000000,597.553711,0.000000,0.000000,120.241022,120.095134,1.0,0.125,2097152,0,0,0,0,16801792,16801792,0,0,0,4221504,4223525,4,1,0.022409279999999997,0.05824363,0.90385282,0.0,0.00230871,0.00726163,0.0020598,0.00098693,0.9998823899999999,16801792,0,75710656,0,8454144,33693824,295040,0,3696609,265344,265344,2630400,1059072,0,0.000000,0.000000,0,2097152,4.800000000000001e-07,0.0028767199999999997,64,857,806,0,0,1.0,1.0,0,0,0,0,0,0,3.127592,2.939809,0,0,0,0,0,0,0,0.231231,0.231343,0.10124046,0.92197515,0.143623,0.228401,1,1,2,1,1,2,0,0,1,0,0.0,0.00662893,0.0,0,1,239,85,524288,0,265024,0,64,0,264064,0,0,0,0,0,0,0,67108864,0,0,67109541,2056725,2048,0,0,0,0,0,2097152,0,0,64,0,0,0,0,0,0,0,160,2.9559999999999998e-05,0,512
scan,34571.000000,1.0,1.0,0.9960629900000001,0.023622,1.000000,1.000000,0.000000,0.000000,63.752933,16.000000,1327168,2359296,0,0,8388866,2097152,0,5,2097322,2097200,2096124,2099234,0.0,0.0,407.849268,97.942575,407.849268,97.942575,0.0,0.5,0.0006395000000000001,1.0,407.591280,138.283605,407.849268,407.849268,97.942575,407.869071,125.170486,0.000000,244.854492,0.000000,0.000000,440.741588,247.929099,1.0,1.0,2097216,0,0,0,0,67108864,67108864,0,0,16384,17700352,17702388,7,1,0.17021311,0.25398766,0.57448582,0.15455228,0.44812858,0.14937978,0.15265022,0.00064178,1.0,67125248,0,18546624,32768,1212416,201359488,273940480,0,16881552,40064,40064,11143744,11144704,0,0.000000,0.000000,0,2097216,5.5690000000000004e-05,0.00494686,2097152,1183,1295,0,0,1.0,1.0,0,0,0,0,0,0,142.455960,124.276410,0,0,0,0,0,0,0,0.385015,0.385609,0.18386424,0.9554737400000001,0.149342,0.411656,1,2,2,2,1,3,1,0,1,0,0.0,0.01121747,0.0,0,1,320,107,524288,0,2359296,0,131072,0,1442304,0,0,0,0,0,0,0,67110912,0,0,67075990,67175514,67108864,0,0,0,0,0,2097152,0,0,2097152,0,0,0,0,0,0,0,160,0.5,0,512
sort,816.000000,1.0,1.0,0.98782169,0.018319,1.000000,1.106481,0.000000,0.000000,64.000005,16.000000,15663104,18874368,0,0,25952258,6291456,0,5,7127653,6291477,6488103,6289442,0.0068542099999999995,0.0,321.347625,240.295190,321.347625,240.295190,0.0,0.4991216,0.5,1.0,321.352335,240.086600,321.347625,321.347625,240.295190,321.366409,240.296000,0.000000,535.575195,0.000000,0.000000,1612.483003,1338.136936,1.0,1.0,6488064,0,0,0,0,64,64,0,0,0,160432128,160436195,7,1,0.048265770000000006,0.22907154,0.7730209000000001,0.10192570999999999,0.31581788,0.50924634,0.031666280000000005,0.006471510000000001,1.0,64,0,1629683712,197088,62914560,1585643520,1830813696,0,153948128,2801664,2801664,74317824,83755008,0,0.000000,0.000000,0,7127403,0.18861920999999998,0.01774119,6291456,1135,1223,0,0,1.0,1.0,0,0,0,0,0,0,698.673828,712.077148,0,0,0,0,0,0,0,1.423610,1.422832,0.66570449,0.9962140599999999,0.932596,2.354631,3,2,2,6,1,2,1,0,0,0,0.0,9.000000000000001e-07,0.0,0,1,488,116,1572864,0,18874368,0,1572864,0,14155776,0,0,0,0,0,0,0,228147216,0,0,207619310,201262175,201326592,0,0,0,0,0,3342336,0,0,6291456,0,0,0,0,0,0,0,160,0.50192503,0,393216
spmv,2253.707031,1.0,1.0,0.94117647,0.108858,1.545455,2.000000,0.000000,0.000000,22.960322,8.000000,196608,278528,0,0,4791184,16384,0,5,5315816,16405,1326810,62552,0.5827844799999999,0.0,254.615003,845.058742,746.852542,845.058742,0.0,0.6950492800000001,0.81379062,0.96875,256.809579,19.154337,481.840426,936.625327,845.058742,936.995609,849.205637,0.000000,562.507812,0.000000,0.000000,274.421788,193.709497,0.9065270200000001,1.0,1924750,5999122,507904,2745609,0,5999122,507904,2745609,0,524288,2973182,2974938,4,1,0.05734873,0.20715795,0.7240550299999999,0.27408041,0.0,0.28604109,0.7418392699999999,0.00226346,0.27155172,3777801,3253513,46207216,1572864,3670079,11366171,5957949,0,2691341,221501,221501,1862978,661060,0,0.000000,0.000000,0,5316114,0.04515646,0.0044940299999999996,16384,1314,1473,0,0,1.0,1.0,0,0,0,0,0,0,352.371982,368.388905,0,0,0,0,0,0,0,0.437106,0.437642,0.19967358000000002,0.9398923299999999,0.901961,0.580858,1,4,3,1,1,3,1,0,1,1,0.0,0.006494799999999999,0.01020453,0,1,340,148,233176,0,180224,0,16384,0,98304,0,0,0,0,0,0,101488,100210426,0,0,42457928,2001683,524288,0,0,0,0,0,842221,0,0,16384,0,0,0,0,0,0,0,160,0.81369652,754436,16384
