benchmark name,inst_per_warp,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gld_efficiency,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,dram_utilization,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,nvlink_total_data_transmitted,nvlink_total_data_received,nvlink_user_data_transmitted,nvlink_user_data_received,nvlink_overhead_data_transmitted,nvlink_overhead_data_received,nvlink_total_nratom_data_transmitted,nvlink_user_nratom_data_transmitted,nvlink_total_ratom_data_transmitted,nvlink_user_ratom_data_transmitted,nvlink_total_write_data_transmitted,nvlink_user_write_data_transmitted,nvlink_transmit_throughput,nvlink_receive_throughput,nvlink_total_response_data_received,nvlink_user_response_data_received,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,issue_slot_utilization,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,shared_utilization,l2_utilization,tex_utilization,ldst_fu_utilization,cf_fu_utilization,tex_fu_utilization,special_fu_utilization,half_precision_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,sysmem_read_utilization,sysmem_write_utilization,pcie_total_data_transmitted,pcie_total_data_received,inst_executed_global_loads,inst_executed_local_loads,inst_executed_shared_loads,inst_executed_surface_loads,inst_executed_global_stores,inst_executed_local_stores,inst_executed_shared_stores,inst_executed_surface_stores,inst_executed_global_atomics,inst_executed_global_reductions,inst_executed_surface_atomics,inst_executed_surface_reductions,inst_executed_shared_atomics,inst_executed_tex_ops,l2_global_load_bytes,l2_local_load_bytes,l2_surface_load_bytes,dram_read_bytes,dram_write_bytes,l2_local_global_store_bytes,l2_global_reduction_bytes,l2_global_atomic_store_bytes,l2_surface_store_bytes,l2_surface_reduction_bytes,l2_surface_atomic_store_bytes,global_load_requests,local_load_requests,surface_load_requests,global_store_requests,local_store_requests,surface_store_requests,global_atomic_requests,global_reduction_requests,surface_atomic_requests,surface_reduction_requests,sysmem_read_bytes,sysmem_write_bytes,l2_tex_hit_rate,texture_load_requests,unique_warps_launched
bfs,494.250000,1.0,0.90682886,0.88772707,0.004275,0.000000,0.000000,0.000000,0.000000,14.836182,0.982617,0,0,0,0,20002,112,0,5,249,125,0,2,0.84354496,0.0,307.158940,28.784110,2.211858,172.666474,0.0,0.93807911,0.9992348,0.9,0.000000,3.277156,7.500874,358.185685,172.666474,383.583844,192.636796,0.000000,7.680846,0.000000,0.000000,0.000000,0.000000,0.13382912,0.15415154,5000,0,0,0,0,0,0,0,0,1024,15816,15880,0,1,0.10001854,0.14934008000000001,0.50414907,0.0,0.0,0.20032931999999998,0.02690747,0.00488217,0.0,1024,0,283952,4096,96000,38999,8691,0,14816,3364,3364,5164,1664,0,0.000000,0.000000,0,233,0.00010766,0.0142657,112,576,384,0,0,1.0,1.0,0,0,0,0,0,0,27.651174,18.434099,0,0,0,0,0,0,0,0.729088,0.726711,0.33743861,0.01375985,0.322783,0.958478,0,1,1,1,1,2,1,0,3,0,0.0,0.0,0.0,0,1,238,85,1400,0,0,0,200,0,0,0,0,0,0,0,0,0,7474,0,0,0,68,3596,0,0,0,0,0,5000,0,0,100,0,0,0,0,0,0,0,160,0.9997116300000001,0,32
fft,481.000000,1.0,1.0,1.0,0.024390,2.000000,2.000000,0.000000,0.000000,64.000977,16.000000,16384,24576,0,0,131074,32768,0,5,34002,32781,0,158,0.0,0.0,251.281199,174.552401,251.281199,174.552401,0.0,0.0,1.0,1.0,0.000000,865.488818,251.281199,251.281199,174.552401,254.225900,174.621651,0.000000,39.262442,0.000000,0.000000,523.657203,349.104802,1.0,1.0,32768,2654208,1179648,475136,524288,5079040,2359296,950272,819200,458752,231936,234438,1,1,0.050678400000000005,0.16418847,0.6611591699999999,0.03373863,0.17737451,0.051282009999999996,0.18665715,0.09244788,1.0,4816896,2179072,278528,360448,16384,1425408,409600,0,190553,512,512,90624,53248,0,0.000000,0.000000,0,32768,0.23319880999999998,0.0972623,32768,576,384,0,0,1.0,1.0,0,0,0,0,0,0,141.345428,94.230204,0,0,0,0,0,0,0,0.994842,0.794963,0.31758101,0.47892381,0.130422,1.127405,1,2,1,2,1,2,1,0,3,3,0.0,0.07064561,0.07128641,0,1,341,170,4096,0,16384,0,4096,0,16384,0,0,0,0,0,0,0,1048576,0,0,0,5077,1048576,0,0,0,0,0,16384,0,0,32768,0,0,0,0,0,0,0,160,1.0,0,512
gemm,2893.000000,1.0,1.0,0.98758981,0.004537,1.629630,3.698113,0.000000,0.000000,42.666829,4.571429,50176,90112,0,0,524290,8192,0,5,131897,8205,0,33,0.0625,0.0,320.837146,20.052322,320.837146,20.052322,0.0,0.11111111,1.0,1.0,0.000000,92.258751,320.837146,320.837146,20.052322,322.576841,20.084143,0.000000,13.995488,0.000000,0.000000,882.302151,491.281879,1.0,1.0,131072,4210688,0,2097152,16384,34693120,458752,16850944,532480,8192,740608,741378,1,1,0.13992069000000001,0.25265733,0.38391251,0.0,0.12078642,0.1339775,0.04179575,0.030032760000000002,0.7046076600000001,17850368,2117632,2064384,24576,98304,2826240,368640,0,662018,4992,4992,127744,101120,0,0.000000,0.000000,0,131072,0.00244329,0.40798470000000003,8192,605,427,0,0,1.0,1.0,0,0,0,0,0,0,52.959173,37.424083,0,0,0,0,0,0,0,1.598637,1.370489,0.61312725,0.64609978,0.071912,1.984132,2,2,2,2,1,1,1,0,7,2,0.0,0.26703508,0.07028639,0,1,225,133,12288,0,65536,0,2048,0,27392,0,0,0,0,0,0,0,4194304,0,0,0,1075,262144,0,0,0,0,0,32768,0,0,8192,0,0,0,0,0,0,0,160,1.0,0,256
md,4981.000000,1.0,0.99913133,0.97287335,0.001287,0.000000,0.000000,0.000000,0.000000,16.492348,24.000000,0,0,0,0,823298,27648,0,5,1764220,27666,196645,57112,0.055555560000000004,0.0,51.355117,2.214281,53.142743,6.642843,0.0,0.5009885700000001,0.88854816,0.83333333,49.806155,14.466124,332.880238,436.933042,6.642843,436.946651,6.647364,0.000000,1.296838,0.000000,0.000000,0.000000,0.000000,1.0,0.33333333000000004,1385472,47130260,4718592,17278734,7854200,39278590,6288926,12567732,7854200,1570334,1912704,1915229,1,1,0.0436613,0.1249349,0.8220584700000001,0.0,0.0,0.00857016,0.00474223,0.00693824,0.0,29854056,31424390,10122782,0,8262234,4780032,3386428,0,1703114,308736,308736,996096,150144,0,0.000000,0.000000,0,1764147,0.00194679,0.00259958,27648,576,384,0,0,1.0,1.0,0,0,0,0,0,0,4.668638,3.112423,0,0,0,0,0,0,0,0.255521,0.255108,0.11342612,0.79401032,0.124767,0.245906,0,2,2,1,1,2,1,0,1,2,0.0,0.03427494,0.07811329,0,1,232,93,49920,0,0,0,1152,0,0,0,0,0,0,0,0,98304,6684672,0,0,6292669,1827610,884736,0,0,0,0,0,199680,0,0,9216,0,0,0,0,0,0,0,160,0.88665992,786432,384
md5hash,2479.259181,1.0,0.9999996,0.98789142,0.000170,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,13,0,5,1248,26,0,6,0.0,0.0,0.000000,42.590820,0.000000,632.798828,0.0,0.0,0.0,1.0,0.000000,311.531250,0.000000,0.000000,632.798828,59.325099,1.235938,0.000000,243.382812,0.000000,0.000000,0.000000,0.000000,0.0,0.06730768999999999,0,0,0,0,0,0,0,0,0,1000320,77501642,77514160,0,1,0.01383087,0.11725509,0.0,0.0,0.0,0.8123866700000001,0.00030934,0.02709543,0.0,1000320,0,2354019728,2000640,60000320,13,33001610,0,76826638,1968761,1968761,62533,62533,0,0.000000,0.000000,0,0,1.0970000000000002e-05,0.029111630000000003,13,576,384,0,0,1.0,1.0,0,0,0,0,0,0,876.184570,584.122070,0,0,0,0,0,0,0,1.480671,1.481311,0.7340860100000001,0.9770776999999999,0.874485,3.054231,0,1,0,1,1,1,1,0,8,0,0.0,0.0,0.0,0,1,256,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,204,416,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,160,1.0,0,31260
neuralnet,8294.000000,1.0,1.0,0.9811121,0.250000,1.852459,1.714286,10.000000,3.666667,33.797414,4.210000,1872,3616,10,22,15682,2978,0,5,3929,2991,4099,2521,0.75,0.0,516.137423,501.770404,627.213078,652.301618,0.84210526,0.76528117,0.92365964,1.0,784.105664,897.182194,602.124542,627.213078,652.301618,578.073939,782.761999,0.000000,62.520741,100.356737,220.785199,26.656716,13.800158,1.0,1.0,3920,2200,200,1000,60,1656192,7168,820352,11910,600,33176,33188,1,1,0.54500439,0.10556114000000001,0.73129954,0.00019834,0.06978184999999999,0.18376728,0.6587608899999999,0.01618342,0.7647405700000001,835968,1200,216580,600,36480,123308,169764,0,29172,2647,2647,5236,4312,0,0.000000,0.000000,0,3920,0.01055134,0.31902906000000003,2978,576,384,0,0,1.0,1.0,0,0,0,0,0,0,225.075663,150.050314,0,0,0,0,0,0,0,1.057995,1.058210,0.46507935000000006,0.1995792,0.467189,1.602322,1,1,1,2,1,1,1,0,5,1,0.0,0.006329820000000001,7.882999999999999e-05,0,1,226,119,760,1,1952,0,745,6,1732,0,0,0,0,0,0,0,125440,320,0,131168,80672,95296,0,0,0,0,0,2984,2,0,2978,22,0,0,0,0,0,0,160,0.68910714,0,768
reduction,181.125000,1.0,0.99465148,0.95527088,0.032296,1.467532,1.677419,0.000000,0.000000,32.000488,1.000000,6656,7232,0,0,131074,64,0,5,32864,77,0,427,0.0,0.0,205.913167,102.956382,205.913167,411.826133,0.0,0.4995122,1.0,1.0,77.216797,2.609188,205.913167,205.913167,411.826133,206.517459,495.483384,0.000000,32.173731,0.000000,0.000000,181.782718,167.304448,1.0,0.25,32768,155648,155648,0,0,286720,286720,0,0,0,92736,94666,1,1,0.06516026,0.16115758,0.52261892,0.0,0.12255413000000001,0.05931703,0.14659173,0.00444353,0.9956797199999999,286720,155648,1392832,0,196608,663680,295040,0,83850,7296,7296,49920,26880,0,0.000000,0.000000,0,32768,6.452e-05,0.00894245,64,813,739,0,0,1.0,1.0,0,0,0,0,0,0,163.548945,148.801723,0,0,0,0,0,0,0,0.403753,0.423529,0.18756936,0.43059157,0.133436,0.459304,1,1,1,1,1,2,0,0,2,1,0.0,0.004199339999999999,0.00498714,0,1,215,104,8192,0,6976,0,64,0,6016,0,0,0,0,0,0,0,1048576,0,0,0,13681,2048,0,0,0,0,0,32768,0,0,64,0,0,0,0,0,0,0,160,1.0,0,512
scan,614.000000,1.0,1.0,0.99609375,0.039928,2.000000,2.000000,0.000000,0.000000,51.400781,32.000000,20864,36864,0,0,131586,65536,0,5,32928,65550,2455,6754,0.4995122,0.0,186.740805,97.370953,186.740805,373.481428,0.0,0.5,0.99979448,1.0,179.242581,114.177935,186.740805,186.740805,373.481428,197.404580,470.955023,0.000000,30.616487,0.000000,0.000000,373.105816,217.200886,1.0,1.0,32896,524288,524288,0,0,1048576,1048576,0,0,16384,314368,315844,1,1,0.0702147,0.25768225,0.25168852999999997,0.04004266,0.41624214000000004,0.15648873,0.33094564,0.00846421,1.0,1064960,524288,1081536,32768,180224,3162496,4538368,0,301507,7808,7808,176704,177664,0,0.000000,0.000000,0,32832,0.03276234,0.021022,65536,14319,20996,0,0,1.0,1.0,0,0,0,0,0,0,125.839131,96.908765,0,0,0,0,0,0,0,0.459017,0.469937,0.20681256999999997,0.6698663,0.143151,0.611622,1,1,1,2,1,2,1,0,2,1,0.0,0.00714231,0.008335160000000001,0,1,208,90,8192,0,36864,0,2048,0,23040,0,0,0,0,0,0,0,1050624,0,0,78588,216147,2097152,0,0,0,0,0,32768,0,0,32768,0,0,0,0,0,0,0,160,0.99982353,0,512
sort,816.000000,1.0,1.0,0.98782169,0.045082,1.000000,1.097222,0.000000,0.000000,64.000488,16.000000,161792,196608,0,0,270338,65536,0,5,74858,65582,44356,60125,0.0013217,0.0,233.560680,226.483084,258.332267,226.483084,0.0,0.49902534000000004,1.0,1.0,268.203286,135.492729,233.560680,257.910653,226.483084,258.698588,226.637388,0.000000,38.760236,0.000000,0.000000,884.626327,727.973748,1.0,1.0,67584,0,0,0,0,254,254,0,0,0,1671168,1673401,5,1,0.24192265,0.28762337,0.47466931,0.05190431,0.35540994,0.34654770999999995,0.23213524,0.00905155,1.0,254,0,16975872,3193,655360,16517120,19070976,0,1605817,29184,29184,774144,872448,0,0.000000,0.000000,0,74630,0.11027863,0.02559748,65536,4934,6689,0,0,1.0,1.0,0,0,0,0,0,0,968.817914,940.139293,0,0,0,0,0,0,0,1.132632,1.145790,0.53265204,0.77061669,0.754138,1.709340,2,1,1,5,1,3,1,0,3,0,0.0,3.6699999999999996e-06,0.0,0,1,217,102,16384,0,196608,0,16384,0,147456,0,0,0,0,0,0,0,2389049,0,0,1419403,1924013,2097152,0,0,0,0,0,34816,0,0,65536,0,0,0,0,0,0,0,160,1.0,0,4096
spmv,393.031250,1.0,1.0,0.94117647,0.117647,1.545455,2.000000,0.000000,0.000000,17.094746,8.000000,12288,17408,0,0,57748,1024,0,5,13498,1037,0,56,0.87005974,0.0,35.185726,858.788066,90.555695,840.742527,0.0,0.88057318,1.0,1.0,137.261719,378.327809,118.110393,86.090880,840.742527,88.314057,883.436488,0.000000,60.454412,0.000000,0.000000,455.574736,321.582166,0.66682683,1.0,18052,59061,31744,13658,0,59061,31744,13658,0,32768,119832,121078,1,1,0.30118256,0.20775928,0.74201395,0.0132067,0.0,0.13324212,0.51458911,0.01343477,0.27155172,78170,45402,1628241,98304,152770,236559,206769,0,113906,11265,11265,36451,25606,0,0.000000,0.000000,0,13158,0.0032497900000000002,0.030446130000000002,1024,13828,20262,0,0,1.0,1.0,0,0,0,0,0,0,878.295311,487.100779,0,0,0,0,0,0,0,0.712533,0.747444,0.35159038000000004,0.35083770999999997,0.248741,1.283118,1,1,1,2,1,2,1,0,3,1,0.0,0.00094847,0.00190477,0,1,512,256,4100,0,11264,0,1024,0,6144,0,0,0,0,0,0,1026,235159,0,0,1,1807,32768,0,0,0,0,0,12355,0,0,1024,0,0,0,0,0,0,0,160,1.0,4463,1024
