==17996== NVPROF is profiling process 17996, command: ./GEMM -s 1
==17996== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==17996== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==17996== Profiling application: ./GEMM -s 1
==17996== Profiling result:
==17996== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"inst_per_warp","Instructions per warp",2829.000000,2829.000000,2829.000000
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",98.232591%,98.232591%,98.232591%
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"inst_replay_overhead","Instruction Replay Overhead",0.001060,0.001187,0.001065
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.629630,1.629630,1.629630
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",3.698113,3.698113,3.698113
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"gld_transactions_per_request","Global Load Transactions Per Request",42.666829,42.666829,42.666829
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"shared_store_transactions","Shared Store Transactions",50176,50176,50176
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"shared_load_transactions","Shared Load Transactions",90112,90112,90112
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"gld_transactions","Global Load Transactions",524290,524290,524290
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"gst_transactions","Global Store Transactions",8192,8192,8192
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"l2_read_transactions","L2 Read Transactions",131120,132560,131897
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"l2_write_transactions","L2 Write Transactions",8205,8205,8205
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"dram_write_transactions","Device Memory Write Transactions",28,36,32
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"gld_requested_throughput","Requested Global Load Throughput",318.695439GB/s,320.210673GB/s,319.559452GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"gst_requested_throughput","Requested Global Store Throughput",19.918465GB/s,20.013167GB/s,19.972466GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"gld_throughput","Global Load Throughput",318.695439GB/s,320.210673GB/s,319.559452GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"gst_throughput","Global Store Throughput",19.918465GB/s,20.013167GB/s,19.972466GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"tex_cache_hit_rate","Unified Cache Hit Rate",5.555556%,5.555556%,5.555556%
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_32x32x32_TN_vec",50,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
