==18454== NVPROF is profiling process 18454, command: ./MD -s 4
==18454== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==18454== Profiling application: ./MD -s 4
==18454== Profiling result:
==18454== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"inst_per_warp","Instructions per warp",4462.000000,4462.000000,4462.000000
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",97.064097%,97.064097%,97.064097%
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"inst_replay_overhead","Instruction Replay Overhead",0.000341,0.000571,0.000442
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"gld_transactions_per_request","Global Load Transactions Per Request",16.372100,16.372100,16.372100
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"gst_transactions_per_request","Global Store Transactions Per Request",16.000000,16.000000,16.000000
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"gld_transactions","Global Load Transactions",4866050,4866050,4866050
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"gst_transactions","Global Store Transactions",110592,110592,110592
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"l2_read_transactions","L2 Read Transactions",10605261,10605711,10605496
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"l2_write_transactions","L2 Write Transactions",110612,110620,110614
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"dram_read_transactions","Device Memory Read Transactions",1179660,1179716,1179678
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"dram_write_transactions","Device Memory Write Transactions",39773,41033,40298
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"gld_requested_throughput","Requested Global Load Throughput",89.009665GB/s,89.195364GB/s,89.107375GB/s
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"gst_requested_throughput","Requested Global Store Throughput",2.022947GB/s,2.027167GB/s,2.025168GB/s
"Tesla P100-SXM2-16GB (2)","void compute_lj_force<float, float3, float4, bool=1, texReader_sp>(float3*, float4 const *, int, int const *, float, float, float, int)",11,"gld_throughput","Global Load Throughput",89.009665GB/s,89.195364GB/s,89.107375GB/s
