==9849== NVPROF is profiling process 9849, command: ./NeuralNet -s 4
==9849== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==9849== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==9849== Profiling application: ./NeuralNet -s 4
==9849== Profiling result:
==9849== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","kernelFeedForward3(float*, float*, int, float*)",32,"inst_per_warp","Instructions per warp",53.000000,53.000000,53.000000
"Tesla P100-SXM2-16GB (2)","kernelFeedForward3(float*, float*, int, float*)",32,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","kernelFeedForward3(float*, float*, int, float*)",32,"warp_execution_efficiency","Warp Execution Efficiency",31.250000%,93.750000%,62.500000%
"Tesla P100-SXM2-16GB (2)","kernelFeedForward3(float*, float*, int, float*)",32,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",30.070755%,90.212264%,60.141509%
"Tesla P100-SXM2-16GB (2)","kernelFeedForward3(float*, float*, int, float*)",32,"inst_replay_overhead","Instruction Replay Overhead",0.056604,0.056604,0.056604
"Tesla P100-SXM2-16GB (2)","kernelFeedForward3(float*, float*, int, float*)",32,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","kernelFeedForward3(float*, float*, int, float*)",32,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","kernelFeedForward3(float*, float*, int, float*)",32,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","kernelFeedForward3(float*, float*, int, float*)",32,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","kernelFeedForward3(float*, float*, int, float*)",32,"gld_transactions_per_request","Global Load Transactions Per Request",8.100000,16.100000,12.100000
