==29283== NVPROF is profiling process 29283, command: ./Spmv -s 4
==29283== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==29283== Profiling application: ./Spmv -s 4
==29283== Profiling result:
==29283== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"inst_per_warp","Instructions per warp",178.642395,180.294922,179.468658
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"branch_efficiency","Branch Efficiency",99.999424%,100.000000%,99.999712%
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"warp_execution_efficiency","Warp Execution Efficiency",89.289619%,91.729905%,90.509769%
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",74.865553%,77.129172%,75.997372%
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"inst_replay_overhead","Instruction Replay Overhead",0.000529,0.000912,0.000587
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"gld_transactions_per_request","Global Load Transactions Per Request",14.438206,14.457243,14.447724
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"shared_store_transactions","Shared Store Transactions",98304,98304,98304
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"shared_load_transactions","Shared Load Transactions",180224,180224,180224
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"gld_transactions","Global Load Transactions",3331154,3406618,3368886
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"gst_transactions","Global Store Transactions",16384,16384,16384
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"l2_read_transactions","L2 Read Transactions",2941842,3029090,2985569
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"l2_write_transactions","L2 Write Transactions",16404,16408,16405
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"dram_read_transactions","Device Memory Read Transactions",675477,706049,690714
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"dram_write_transactions","Device Memory Write Transactions",59949,61961,61031
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"global_hit_rate","Global Hit Rate in unified l1/tex",3.350652%,12.866493%,8.107843%
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"gld_requested_throughput","Requested Global Load Throughput",208.693993GB/s,224.786398GB/s,216.707025GB/s
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"gst_requested_throughput","Requested Global Store Throughput",648.212489MB/s,667.899163MB/s,658.173376MB/s
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"gld_throughput","Global Load Throughput",232.578190GB/s,274.226144GB/s,253.639818GB/s
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"gst_throughput","Global Store Throughput",5.064160GB/s,5.217962GB/s,5.141980GB/s
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"tex_cache_hit_rate","Unified Cache Hit Rate",29.022550%,31.339540%,30.122872%
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",75.688333%,78.108984%,76.941466%
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",96.875000%,96.875000%,96.875000%
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"dram_read_throughput","Device Memory Read Throughput",208.825821GB/s,224.803277GB/s,216.775021GB/s
"Tesla P100-SXM2-16GB (2)","void spmv_csr_vector_kernel<float, texReaderSP>(float const *, int const *, int const *, int, float*)",200,"dram_write_throughput","Device Memory Write Throughput",18.719849GB/s,19.520771GB/s,19.154337GB/s
