==984== NVPROF is profiling process 984, command: ./Stencil2D -s 4
==984== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==984== Profiling application: ./Stencil2D -s 4
==984== Profiling result:
==984== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"inst_per_warp","Instructions per warp",480.875000,480.875000,480.875000
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"branch_efficiency","Branch Efficiency",99.253731%,99.253731%,99.253731%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"warp_execution_efficiency","Warp Execution Efficiency",93.776805%,93.776808%,93.776807%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",90.434915%,90.434918%,90.434917%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"inst_replay_overhead","Instruction Replay Overhead",0.000347,0.000475,0.000401
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.909091,0.909091,0.909091
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"gld_transactions_per_request","Global Load Transactions Per Request",12.363639,12.363639,12.363639
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"gst_transactions_per_request","Global Store Transactions Per Request",5.000000,5.000000,5.000000
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"shared_store_transactions","Shared Store Transactions",819200,819200,819200
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"shared_load_transactions","Shared Load Transactions",4718592,4718592,4718592
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"gld_transactions","Global Load Transactions",11141122,11141122,11141122
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"gst_transactions","Global Store Transactions",2621440,2621440,2621440
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"l2_read_transactions","L2 Read Transactions",2827700,2829781,2828587
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"l2_write_transactions","L2 Write Transactions",2756794,2763476,2760762
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"dram_read_transactions","Device Memory Read Transactions",2511653,2558111,2539787
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"dram_write_transactions","Device Memory Write Transactions",2175020,2178942,2176892
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"global_hit_rate","Global Hit Rate in unified l1/tex",17.760126%,17.818981%,17.792615%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"gld_requested_throughput","Requested Global Load Throughput",192.243284GB/s,196.749841GB/s,194.497939GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"gst_requested_throughput","Requested Global Store Throughput",152.602421GB/s,156.179719GB/s,154.392162GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"gld_throughput","Global Load Throughput",250.363346GB/s,256.232352GB/s,253.299641GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"gst_throughput","Global Store Throughput",190.753026GB/s,195.224649GB/s,192.990203GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"tex_cache_hit_rate","Unified Cache Hit Rate",54.427306%,54.442147%,54.433321%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",13.988907%,15.950113%,14.720460%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",45.374565%,45.582695%,45.476953%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"dram_read_throughput","Device Memory Read Throughput",184.325036GB/s,189.733567GB/s,186.978921GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"dram_write_throughput","Device Memory Write Throughput",158.439386GB/s,162.137577GB/s,160.262677GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"tex_cache_throughput","Unified Cache Throughput",202.675090GB/s,207.426189GB/s,205.052090GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",205.802885GB/s,210.663277GB/s,208.230342GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",190.753026GB/s,195.224649GB/s,192.990203GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"l2_read_throughput","L2 Throughput (Reads)",205.859862GB/s,210.690087GB/s,208.240367GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"l2_write_throughput","L2 Throughput (Writes)",200.950233GB/s,205.658664GB/s,203.247137GB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"sysmem_write_throughput","System Memory Write Throughput",381.505859KB/s,390.449219KB/s,385.977539KB/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",250,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
