==42908== NVPROF is profiling process 42908, command: ./Stencil2D -s 1
==42908== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==42908== Profiling application: ./Stencil2D -s 1
==42908== Profiling result:
==42908== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"inst_per_warp","Instructions per warp",480.875000,480.875000,480.875000
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"branch_efficiency","Branch Efficiency",99.253731%,99.253731%,99.253731%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"warp_execution_efficiency","Warp Execution Efficiency",93.776197%,93.776197%,93.776197%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",90.434511%,90.435323%,90.434886%
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"inst_replay_overhead","Instruction Replay Overhead",0.010115,0.012093,0.010361
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.909091,0.909091,0.909091
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"gld_transactions_per_request","Global Load Transactions Per Request",12.363778,12.363778,12.363778
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"gst_transactions_per_request","Global Store Transactions Per Request",5.000000,5.000000,5.000000
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"shared_store_transactions","Shared Store Transactions",12800,12800,12800
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"shared_load_transactions","Shared Load Transactions",73728,73728,73728
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"gld_transactions","Global Load Transactions",174082,174082,174082
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"gst_transactions","Global Store Transactions",40960,40960,40960
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","void StencilKernel<float>(float*, float*, int, int, float, float, float)",266,"l2_read_transactions","L2 Read Transactions",44486,44685,44543
