==33361== NVPROF is profiling process 33361, command: ./Triad -s 4
==33361== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==33361== Profiling application: ./Triad -s 4
==33361== Profiling result:
==33361== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"inst_per_warp","Instructions per warp",19.000000,19.000000,19.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"inst_replay_overhead","Instruction Replay Overhead",0.096423,0.105263,0.101065
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"gld_transactions_per_request","Global Load Transactions Per Request",16.001953,16.001953,16.001953
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"gld_transactions","Global Load Transactions",16386,16386,16386
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"gst_transactions","Global Store Transactions",2048,2048,2048
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"l2_read_transactions","L2 Read Transactions",4192,4196,4192
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"l2_write_transactions","L2 Write Transactions",2061,2061,2061
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"dram_read_transactions","Device Memory Read Transactions",4120,4140,4127
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"dram_write_transactions","Device Memory Write Transactions",4545,5960,5150
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"gld_requested_throughput","Requested Global Load Throughput",32.242555GB/s,33.545016GB/s,32.976715GB/s
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"gst_requested_throughput","Requested Global Store Throughput",16.121277GB/s,16.772508GB/s,16.488357GB/s
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"gld_throughput","Global Load Throughput",32.242555GB/s,33.545016GB/s,32.976715GB/s
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"gst_throughput","Global Store Throughput",16.121277GB/s,16.772508GB/s,16.488357GB/s
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"tex_cache_hit_rate","Unified Cache Hit Rate",50.000000%,50.000000%,50.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"dram_read_throughput","Device Memory Read Throughput",32.491550GB/s,33.741569GB/s,33.227287GB/s
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"dram_write_throughput","Device Memory Write Throughput",36.717689GB/s,47.954061GB/s,41.462422GB/s
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"tex_cache_throughput","Unified Cache Throughput",32.242555GB/s,33.545016GB/s,32.976715GB/s
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",73,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",32.242555GB/s,33.545016GB/s,32.976715GB/s
