==12457== NVPROF is profiling process 12457, command: ./Triad -s 1
==12457== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==12457== Profiling application: ./Triad -s 1
==12457== Profiling result:
==12457== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"inst_per_warp","Instructions per warp",19.000000,19.000000,19.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"inst_replay_overhead","Instruction Replay Overhead",0.075093,0.122327,0.100360
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"gld_transactions_per_request","Global Load Transactions Per Request",16.000977,16.001953,16.001851
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"shared_store_transactions","Shared Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"shared_load_transactions","Shared Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"gld_transactions","Global Load Transactions",16386,32770,18104
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"gst_transactions","Global Store Transactions",2048,4096,2262
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","triad(float*, float*, float*, float)",286,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
