==33893== NVPROF is profiling process 33893, command: ./QTC -s 4
==33893== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==33893== Profiling application: ./QTC -s 4
==33893== Profiling result:
==33893== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"inst_per_warp","Instructions per warp",82037518.103516,82037518.103516,82037518.103516
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"branch_efficiency","Branch Efficiency",99.411453%,99.411453%,99.411453%
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"warp_execution_efficiency","Warp Execution Efficiency",75.616956%,75.616956%,75.616956%
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",58.397101%,58.397101%,58.397101%
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"inst_replay_overhead","Instruction Replay Overhead",0.000059,0.000059,0.000059
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.885303,0.885303,0.885303
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"gld_transactions_per_request","Global Load Transactions Per Request",6.646074,6.646074,6.646074
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"gst_transactions_per_request","Global Store Transactions Per Request",0.779255,0.779255,0.779255
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"shared_store_transactions","Shared Store Transactions",87883205,87883205,87883205
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"shared_load_transactions","Shared Load Transactions",789182168,789182168,789182168
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","QTC_device(float*, char*, char*, int*, int*, int*, float*, int*, int, int, int, float, int, int, int, int, bool)",1,"local_store_transactions","Local Store Transactions",0,0,0
