==17461== NVPROF is profiling process 17461, command: ./QTC -s 1
==17461== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==17461== Profiling application: ./QTC -s 1
==17461== Profiling result:
==17461== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"inst_per_warp","Instructions per warp",376.500000,376.500000,376.500000
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"warp_execution_efficiency","Warp Execution Efficiency",57.968127%,57.968127%,57.968127%
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",55.843293%,55.843293%,55.843293%
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"inst_replay_overhead","Instruction Replay Overhead",0.003797,0.003797,0.003797
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"gld_transactions_per_request","Global Load Transactions Per Request",8.000057,8.000057,8.000057
"Tesla P100-SXM2-16GB (2)","compute_degrees(int*, int*, int, int)",1,"gst_transactions_per_request","Global Store Transactions Per Request",2.000000,2.000000,2.000000
